brand,avg_price,avg_rating,avg_share,avg_unit_cost,avg_markup,avg_profit,total_purchases
ninja,145.3425408566312,4.742064222762916,0.19156746149235898,112.48847031464743,32.854070541983766,6.306093145649241,20074
instant_pot,104.46135273162895,4.559322646241354,0.17492131284469675,71.9031191006745,32.55823363095446,6.010256234619939,19426
gowise_usa,87.45478091948101,4.576989653651098,0.13800450440385664,56.30103971862832,31.1537412008527,4.605763804518175,14962
dash,57.47892697965635,4.47639422371707,0.0978619154286126,27.93657766082841,29.542349318827945,2.994371922493418,10295
chefman,90.93841136222986,4.427966483751575,0.09507933567433488,61.56946552937836,29.3689458328515,2.820968436516971,9437
ultrean,78.11460573862581,4.672615823820307,0.09236899014031555,48.78576453308868,29.328841205537135,2.7808638092026055,11914
cuisinart,223.94709311219026,4.43889229356887,0.08578694346867932,194.89611874868723,29.05097436350305,2.5029969671685337,9676
cosori,114.26794969907527,4.65629196733227,0.04897442798415774,86.28332125414123,27.984628444934053,1.436651048599531,4147
nuwave,137.0243838577022,4.389797811276381,0.05055910518461678,109.05354863136435,27.97083522633785,1.4228578300033212,5741
oster,189.03128393670391,4.388652850603225,0.024876003378370398,161.804968645482,27.226315291221926,0.6783378948873928,2521
